# mode,type#signature,ATR,elapsedTime,APDUHeader,inputType:value,inputDivision
time,example.Example#example(javacard.framework.APDU),3B80800101,0 days 00:11:19.224,00EE0000,regex:00[0-9A-F]{2},none
# input1,input2,input3,...
0063,00CD,0068,006C,0098,0096,0073,0078,00D2,0075,0040,0081,00F6,00B8,008B,00D4,00DB,0073,0009,0057,004D,002D,0095,004F,00FD,0038,0042,00F0,003D,0015,0045,0066,00FC,00CD,0083,008C,0087,0089,00FE,002C,0059,00D8,00F1,00AE,0093,0066,00A1,00FC,004D,00E7,0055,0029,001A,00A8,00B2,00D6,0019,0005,0076,00F4,0094,0020,007C,00A4,00A7,0083,0037,0047,0042,0062,0028,0032,0054,00E9,002B,00E6,0089,006B,0043,00EC,00AE,00E0,0087,00A4,001C,00E9,009C,00C0,0008,00E0,00B2,0075,006F,00E8,0061,00C7,001D,00AC,00F6,002D
# trapName,measurement1,measurement2,...
TRAP_example_Example_hash_example_argb_javacard_framework_APDU_arge_1,92148836,92118143,92445072,92331467,92041326,92008561,92640450,91515836,91413188,92135352,92134303,91993756,92040905,91804139,92401170,91970984,92030854,91835037,91925747,91932673,92136392,91633292,91378885,91949338,91995747,91905332,91846656,91622403,91916835,91656006,91329393,91481191,91970264,91367730,91689811,92038272,92050133,91671414,91717247,91720281,91791061,91390453,91873463,91723819,92009225,91769082,92025622,91857524,91590169,91764237,91811811,91754283,91777857,91816822,91528421,91779959,91817264,91862007,91792798,91954714,91488398,91381135,91293478,91706922,91772680,91960872,91860789,91530071,91747789,91821034,91810753,91783867,91845930,91817826,91802794,91733416,91675655,91589464,91288133,91785231,91932709,91694758,91910399,91563739,91540408,91639815,91298866,91655848,91651416,91638583,91612633,91741816,91524209,91346649,92130132,91571978,91757071,91642354,91799345,91754565
TRAP_example_Example_hash_example_argb_javacard_framework_APDU_arge_2,110977,455169,152121,186970,567104,749828,-170513,100628,306824,301924,132469,-23422,129407,488332,683552,137064,176059,428598,305873,288012,55390,280547,253292,-15639,167066,288253,324299,333722,192539,522813,271296,374198,-365164,228776,-142229,-203942,17074,371969,-59986,301278,-41476,467989,216814,554205,-118535,220937,-3595,209194,57600,312101,684456,364969,305338,66865,511445,220296,161433,80446,46771,-293038,575231,392524,366741,281119,332843,475721,173738,495593,281026,808765,-53860,367404,-230155,285082,163967,159886,-65743,-17875,273742,107355,323343,-25197,428254,577303,584349,587527,301168,90810,296151,-75040,899087,123600,409198,599611,-36329,266160,341113,458792,324261,275507
TRAP_example_Example_hash_example_argb_javacard_framework_APDU_arge_3,429305,-92296,-681477,77463,393500,-254906,-58642,133604,684526,-18067,-211106,385958,360504,129516,-665210,309246,70469,-9064,-214406,-124619,-102097,135410,233981,568153,43386,445555,436298,-241280,19886,-162711,165849,178262,296187,345885,168070,-91991,-66640,125325,-20672,302951,295149,563412,200683,-107725,122244,412309,-571,-191257,257689,362531,-376584,-292341,124876,188318,40361,105667,-7458,-9920,-156597,402146,143170,2744,54441,354078,-164836,-748653,195490,184215,266862,-361880,388920,-67085,764817,56136,-53449,197453,385057,550577,101374,-48158,-74435,322144,-296106,-33333,-296925,350700,65398,476211,64324,550240,-370277,564825,54547,334364,233988,353570,102499,396345,-50448,-11991
TRAP_example_Example_hash_example_argb_javacard_framework_APDU_arge_4,14098,278843,826189,192497,-732145,335340,253758,42998,-100524,63066,813574,-234991,-48613,-106137,34286,-116400,260517,180900,32366,366725,259677,216722,17829,-311287,277040,-178877,-489483,84781,226734,304432,337355,-10430,120500,-124647,170695,158981,278536,-256053,583839,-48378,205848,-23180,-88872,-147976,28689,96689,3651,355877,332931,-209880,64937,531885,-9970,-324788,297869,117335,128152,471055,17083,518688,26956,70996,-6810,-278826,152991,708947,25028,260712,2594,884,198423,297597,-93273,299603,635647,92854,731840,248942,102957,333448,-39226,-23574,102887,167941,52950,-320685,95087,-139195,144357,-171845,106251,-381606,252286,-114029,184468,-27280,-156637,-93100,351347,319130
TRAP_example_Example_hash_example_argb_javacard_framework_APDU_arge_5,11825,-709887,-404355,35911,430766,-94392,-305738,351573,-36739,52923,-367035,603894,375452,325758,283222,342644,-242262,1056,423864,-459942,159588,43264,77815,339147,389157,-122024,616968,185456,158785,305814,41329,-83547,326984,344362,105114,-35130,-371578,365441,-165405,187438,-134829,-167748,3073,264697,343892,-90032,378345,-304746,-42271,165756,72657,-173850,150983,183849,34477,138143,250466,-118210,362483,-30529,182890,74292,204266,58759,514393,-61147,1906,-71163,147486,123196,70227,123234,-214263,-31,60230,233547,-160124,295061,36634,44392,23092,229148,206969,89110,239177,78181,308833,305219,159477,392339,-35885,80058,-17505,138845,-257925,325657,259490,-13276,-303426,-137640
TRAP_example_Example_hash_example_argb_javacard_framework_APDU_arge_6,823711,156996,561005,270884,318280,305123,519445,-124703,493775,168827,40622,44320,-206089,-24351,189738,-7778,-135848,-55557,180269,601253,223138,293937,-12047,-115677,-429172,323060,-263912,521844,-67008,-18466,-78792,504048,174280,-49160,69839,143363,93674,82852,-32099,37150,203547,215221,134868,289951,213099,-90360,107114,406959,72621,142724,225852,42084,-65461,22842,-4507,233421,94073,-198252,331350,188260,-57681,90269,133105,323107,-16161,247912,161023,101597,-11242,-66579,129743,107188,212937,-98897,-210849,-5706,-210377,-74216,166173,283030,200835,169148,-178704,123622,-39333,-250764,-43463,-242097,-112031,-41812,458619,234854,-216986,275721,146095,154235,277227,-205231,384619,289701
TRAP_example_Example_hash_example_argb_javacard_framework_APDU_arge_7,9338163,10047978,9691078,9708221,10149149,9559460,10303244,10226944,10107858,9991188,10502779,9707858,10229048,10174151,9962634,10483826,10494610,10506918,9839748,10069043,9999949,9685974,10266292,10740188,10282512,9962225,10274817,10067131,10229043,10144137,10156541,10092131,10401258,10183767,9970226,10303778,10095984,10260128,10226917,9820590,10380701,9971586,10262937,9961970,9968129,10423061,10209606,10343575,10128701,10163401,10033552,9874296,10375751,10200406,9931902,9941328,10164651,10525390,10209315,9834667,10157515,10170378,10465651,10183949,9943682,10246160,10781920,10128257,10246748,10266982,9828664,10014383,10409990,9987118,9879822,9725898,10280639,9882972,10056048,10248334,10245183,9885469,10403586,9944733,10290005,9981438,10257814,10386324,10109013,9841586,9909809,9951914,10751715,10159825,10338723,9725306,9951556,10414411,10168870,10135732
TRAP_example_Example_hash_example_argb_javacard_framework_APDU_arge_8,3947622591,8150691655,4086361399,4299643345,6048692505,5942925116,4543790360,4768932229,8374429290,4651736660,2549676673,5121110660,9782905285,7328961735,5483418068,8395288936,8726867869,4544296614,342124206,3392440085,3029814683,1749234970,5930894688,3135654613,10026353901,2207986713,2570463358,9546525454,2431918248,810463736,2688189337,4064028031,10015374386,8149682888,5227229701,5578855364,5354943638,5461250626,10122966221,1739327840,3498592703,8608449167,9557305690,6879946848,5824012528,4064376394,6400283977,10016333023,3029824381,9195589198,3371085573,1621963588,1034849074,6646169207,7094495704,8502150012,938768889,128196959,4661862334,9675774352,5835272379,1269647662,4896519201,6517799627,6634973050,5226915303,2197185224,2794844915,2570851176,3851004616,1525706216,1973671477,3274856244,9302814317,1643024112,9185852661,5461678624,4202730530,2667277298,9419475270,6880738164,8864750194,5355417819,6518063460,1056320956,9302543754,6176628708,7584103879,245168936,8864977035,7094231688,4651481505,4416271681,9205740847,3840769162,7916269371,1152504497,6859612867,9782828058,1749643827
